Name of commune;Residents;Change in %;Population density per km²;Foreign nationals in %;Crude marriage rate;Crude divorce rate;Crude birth rate;Crude mortality rate;Private households;Size of households in persons;Total surface area in km2  1);Settlement and urban area in %;Change in ha;Agricultural area in %;Change in ha;Wooded area in %;Unproductive area in %;Employed total;Primary sector;Secondary sector;Tertiary sector;;Business establishments total;Primary sector;Secondary sector;Tertiary sector;Dwelling vacancy rate;New housing units per 1000 residents;Social assistance rate;FDP/PLR 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Small right-wing parties;bat_total;bat_sans_log;batlog_tot;maison_indiv;bat_log_1_2;bat_log_3_9;batlog_10p;log_total;log_1_piece;log_2_pieces;log_3_pieces;log_4_pieces;log_5_pieces;log_6plus_pieces;log_inc_pieces;population;pop_hommes;pop_femmes;pop_ch;pop_etr;age_0_19;age_20_64;age_65_plus;globalid;Penal infraction 2019;Bakery ;Park;Fitness;Restaurant;Bars
Switzerland;8 606 033;9,4;215;25,3;4,5;2,0;10,0;7,9;3 811 306;2,2;41 291;7,5;58 409;35,9;-85 056;31,3;25,3;5 249 958;161 497;1 091 626;3 996 835;;687 022;53 457;95 687;537 878;1,72;6,3;3,2;15,1;11,4;16,8;25,6;2,3;7,8;2,4;1,0;13,2;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;1;6;0
Aire-la-Ville;1 169;0,9;399;16,4;2,5;1,7;5,1;3,4;411;2,8;2,9;20,1;12;42,0;-14;23,3;14,6;484;8;183;293;;54;4;16;34;0,00;6,0;10,4;20,7;11,4;9,2;18,5;0,1;5,5;1,0;4,4;20,7;6,4;343,0;44;299;239;267;31;1;442;11;35;91;156;96;53;0;1155;578;577;974;181;291;689;175;{8902EA87-1D57-4002-84A1-DF3DF1ED78FE};38;0;2;1;4;0
Anières;2 387;2,6;617;32,0;2,5;3,8;11,7;5,8;750;2,9;3,9;31,2;11;63,9;-10;5,0;0,0;429;50;29;350;;115;10;16;89;0,67;1,2;2,4;36,9;7,4;4,6;15,9;1,2;7,8;1,6;5,1;16,6;2,0;692,0;40;652;551;603;46;3;912;24;71;147;184;202;284;0;2432;1204;1228;1618;814;571;1441;420;{0E128322-D93E-40C7-B6F2-69E04D6BA5F0};200;1;3;1;2;0
Avully;1 712;-1,6;371;17,2;5,8;1,2;9,2;5,2;659;2,6;4,6;14,6;0;63,7;-9;15,1;6,7;196;31;18;147;;84;7;10;67;0,27;0,0;3,7;11,2;4,9;18,3;15,4;0,3;6,8;0,2;8,7;27,0;5,5;309,0;45;264;135;173;90;1;744;36;54;204;289;112;48;1;1752;866;886;1434;318;411;1070;271;{E377ED3B-D1E7-4BDF-80ED-F667C1B15A39};101;4;4;0;2;0
Avusy;1 401;1,7;271;11,9;2,1;0,0;3,5;6,4;490;2,8;5,2;21,7;27;68,9;-27;9,1;0,4;218;62;45;111;;78;13;15;50;0,55;0,0;1,0;19,0;17,3;9,2;11,1;0,1;7,0;0,3;3,3;25,3;5,6;425,0;19;406;323;380;25;1;549;31;41;96;147;114;119;1;1401;691;710;1230;171;312;855;234;{BF9242F1-1577-453B-BA26-33148460C1A1};59;4;3;0;5;0
Bardonnex;2 277;3,7;455;23,0;3,1;3,9;7,9;3,5;874;2,6;5,0;23,3;24;73,3;-23;3,4;0,0;627;88;201;338;;150;13;29;108;0,57;11,7;3,2;19,2;16,0;9,1;12,2;0,5;4,5;0,3;4,9;26,1;4,5;489,0;52;437;261;337;82;18;1049;50;121;341;298;107;132;0;2388;1168;1220;1822;566;509;1400;479;{4F9783CB-E397-4B5C-93C5-44D6421A3C1A};189;3;2;1;21;1
Bellevue;3 380;6,8;775;36,9;3,9;1,5;9,3;3,0;1 081;2,9;4,4;42,9;42;40,2;-37;15,5;1,4;1 293;7;360;926;;153;4;15;134;0,79;1,2;3,4;24,3;6,9;12,0;16,7;0,6;6,4;0,4;3,8;22,7;4,2;764,0;66;698;555;603;83;12;1309;91;101;331;363;269;154;0;3457;1707;1750;2193;1264;943;2036;478;{55432C43-161E-437A-AE04-87A76F1F022C};271;3;11;0;13;0
Bernex;10 244;6,3;791;21,8;3,4;2,1;9,2;6,7;3 812;2,6;13,0;21,2;70;59,0;-56;16,5;3,3;2 674;249;376;2 049;;516;34;69;413;0,16;4,7;2,7;16,3;14,8;14,6;12,8;0,6;5,0;0,4;4,5;24,0;5,2;1755,0;138;1617;1011;1184;363;70;4323;253;560;1103;1330;680;397;0;10311;5101;5210;8004;2307;2234;6072;2005;{1B2AD119-B4C1-40F4-A5EF-DD8478FC41EF};578;12;12;3;138;7
Carouge (GE);22 621;14,5;8 378;37,0;5,3;3,1;11,8;4,9;9 584;2,3;2,7;84,9;12;4,9;-9;8,7;1,5;25 675;19;3 704;21 952;;2 817;5;396;2 416;0,42;8,0;7,8;14,7;7,8;14,7;10,9;0,7;5,2;0,5;10,1;28,7;5,2;1476,0;334;1142;189;365;312;465;11177;2029;2872;3617;1907;558;190;4;22911;10976;11935;14449;8462;4690;14955;3266;{11ED0805-9F4C-462F-800C-1C071CACD545};2153;0;3;1;2;0
Cartigny;986;15,9;225;21,6;4,1;3,1;10,2;5,1;341;2,9;4,4;11,3;-4;55,1;-1;28,8;4,8;236;28;32;176;;57;11;10;36;0,24;8,4;0,8;23,3;9,1;9,1;13,6;1,9;6,8;0,2;5,6;27,0;1,9;275,0;18;257;170;221;36;0;415;28;45;79;89;99;75;0;969;480;489;764;205;235;564;170;{9C04294D-12F3-4747-94B4-FBF1D6D01FFB};27;1;3;2;4;0
Céligny;791;20,4;170;30,1;1,3;2,5;1,3;11,3;282;2,7;4,7;16,1;11;64,5;-15;19,3;0,2;X;25;X;60;;X;7;X;34;0,57;2,5;1,1;29,4;5,7;8,2;15,4;1,3;5,1;0,8;6,1;25,2;2,0;216,0;15;201;141;176;24;1;352;21;46;83;75;42;85;0;796;392;404;546;250;215;445;136;{71440563-F658-4EFC-8789-8258C30A5402};0;2;4;0;3;0
Chancy;1 698;47,7;316;21,1;3,0;3,0;8,9;4,1;548;3,0;5,4;11,3;15;52,0;-17;32,3;4,3;134;7;18;109;;68;5;11;52;0,99;0,0;3,7;10,6;7,1;10,1;19,4;1,3;6,0;0,4;7,8;24,3;10,9;319,0;27;292;199;235;52;5;612;23;65;168;215;89;52;0;1702;859;843;1339;363;499;1010;193;{27D799E1-97DC-4C22-ADFD-9866E2B3E712};64;2;7;0;15;0
Chêne-Bougeries;12 504;20,2;3 020;34,2;3,7;2,1;10,9;15,2;4 677;2,5;4,1;83,1;19;10,1;-14;5,8;1,0;5 006;0;315;4 691;;704;0;61;643;0,43;18,6;3,4;29,9;7,6;10,8;12,6;0,6;7,8;0,2;5,0;20,0;3,8;1983,0;137;1846;1357;1545;151;150;5645;679;783;1199;1108;801;1074;1;12622;6025;6597;8252;4370;2878;7070;2674;{1704FD51-FD9F-4F2E-A074-F1701F76A1B4};893;1;3;1;29;2
Chêne-Bourg;8 674;7,7;6 777;36,4;3,9;2,8;10,0;6,3;3 517;2,4;1,3;88,1;12;8,7;-10;3,2;0,0;2 881;6;918;1 957;;X;X;115;599;0,33;3,4;7,0;15,9;9,4;13,8;12,2;0,5;5,0;0,3;7,6;26,6;6,1;903,0;88;815;415;499;170;146;4064;455;1025;1285;795;331;171;2;8818;4199;4619;5513;3305;1907;5497;1414;{29DD70D9-EF46-43E0-907A-B3CD32BB13D9};714;1;3;0;2;0
Choulex;1 188;17,3;304;23,7;4,2;1,7;9,3;3,4;436;2,7;3,9;15,3;9;73,7;-4;9,5;1,5;169;36;41;92;;89;12;17;60;1,12;0,0;0,9;24,9;6,4;9,9;18,3;1,1;7,1;0,8;5,3;23,7;1,0;324,0;15;309;218;265;39;5;545;41;59;140;94;98;113;0;1191;580;611;925;266;262;677;252;{70575210-68D9-4389-81CE-C65A8E4AF73D};41;0;2;0;4;0
Collex-Bossy;1 709;4,4;248;32,2;4,1;1,2;5,3;2,9;575;2,9;6,9;10,2;21;64,4;-20;24,9;0,4;208;38;31;139;;88;13;15;60;0,31;0,0;0,8;22,6;10,0;10,7;12,4;0,4;6,2;0,4;6,3;24,6;4,3;432,0;28;404;283;347;57;0;653;21;50;143;186;120;133;0;1677;843;834;1131;546;405;1019;253;{9413E713-933F-4BD1-A938-8CFFD52F43AD};77;0;5;1;9;0
Collonge-Bellerive;8 299;8,9;1 356;28,3;2,7;1,9;7,3;5,9;2 785;2,9;6,1;58,4;58;36,9;-52;4,1;0,7;4 515;23;1 076;3 416;;692;10;83;599;0,70;7,5;1,5;36,6;12,1;6,4;14,8;0,2;7,6;0,6;3,2;14,7;2,7;2282,0;138;2144;1797;1967;145;32;3316;100;225;575;764;710;942;0;8489;4061;4428;6040;2449;2085;4829;1575;{EFAEBB26-2D62-45CF-A7B2-1F1BB267241B};411;1;1;1;17;0
Cologny;5 598;14,9;1 530;35,4;4,3;2,3;10,7;10,7;2 057;2,6;3,7;78,0;35;17,7;-24;4,1;0,3;2 092;6;64;2 022;;X;X;20;247;1,15;3,6;1,9;41,8;8,2;6,2;15,1;0,6;7,2;0,2;2,7;13,4;3,2;1131,0;71;1060;819;908;109;43;2642;196;249;602;539;354;700;2;5866;2762;3104;3826;2040;1334;3305;1227;{876D3CB5-F47D-4C37-B43A-A7B1485ED2AC};339;0;1;0;8;0
Confignon;4 631;10,6;1 672;17,3;2,6;1,9;6,7;6,5;1 621;2,8;2,8;43,5;33;47,1;-35;8,3;1,1;1 026;17;73;936;;248;5;27;216;0,11;0,4;2,1;19,3;11,0;12,2;10,0;0,9;6,2;0,3;6,3;25,7;6,1;839,0;38;801;572;629;153;19;1808;51;202;438;570;300;247;0;4591;2222;2369;3799;792;1101;2650;840;{021A56FC-C529-459E-B952-CDA038E5039C};240;2;2;0;24;0
Corsier (GE);2 186;20,7;798;28,4;3,3;2,3;8,4;5,1;769;2,8;2,7;33,6;13;61,1;-12;3,9;1,4;329;51;32;246;;123;9;16;98;0,78;19,8;1,3;34,6;10,2;5,3;14,2;0,4;5,4;0,9;4,3;19,8;3,0;563,0;22;541;450;481;45;15;928;56;85;149;249;175;214;0;2309;1146;1163;1604;705;535;1362;412;{BEC3EAB2-F4EA-4935-800C-CE3BB226EFA9};146;1;2;0;2;0
Dardagny;1 867;26,4;217;28,4;2,1;1,6;5,4;11,3;628;2,8;8,6;9,4;13;61,3;-24;26,0;3,3;676;98;338;240;;85;19;12;54;0,27;3,8;2,2;19,3;8,8;11,9;16,0;0,3;5,0;0,1;7,5;20,7;7,3;348,0;65;283;140;219;47;17;725;26;97;219;207;92;84;0;1868;893;975;1334;534;419;1129;320;{F6113B2C-0761-4D8C-BFF3-6710E1EED37E};118;135;40;46;1287;173
Genève;203 951;8,8;12 811;48,0;4,9;2,3;11,4;6,5;90 640;2,1;15,9;92,1;22;1,5;-17;3,1;3,2;186 620;38;10 039;176 543;;22 483;15;1 503;20 965;0,61;3,5;7,4;15,1;5,4;17,9;12,6;0,7;5,0;0,2;10,0;26,0;5,0;9019,0;1816;7203;686;1220;1067;4916;110200;26277;30496;28683;14950;6029;3723;42;205007;98571;106436;106284;98723;35922;136454;32631;{7EE594C9-3ED4-4123-8AFD-6C6DBA8B59A7};25454;1;3;1;5;0
Genthod;2 840;4,9;990;32,7;2,8;1,4;4,6;4,6;918;3,0;2,9;54,8;28;37,0;-26;8,2;0,0;860;11;367;482;;X;X;15;103;0,39;0,4;0,7;25,8;9,1;9,2;15,6;1,1;6,3;0,3;2,8;22,8;4,2;865,0;40;825;728;779;46;0;1042;40;67;146;244;263;282;0;2885;1417;1468;1914;971;651;1703;531;{3F90232D-1428-4D45-8558-5893131271FB};213;1;3;1;26;1
Le Grand-Saconnex;12 275;7,3;2 803;41,1;3,4;1,9;8,9;5,9;4 494;2,6;4,4;83,7;76;14,2;-74;2,1;0,0;X;X;292;11 858;;X;X;60;638;0,41;9,7;4,4;14,7;8,4;16,4;15,7;0,7;6,7;0,2;5,3;24,8;5,5;1306,0;167;1139;743;827;108;204;5138;466;827;1423;1354;668;400;0;12394;6014;6380;7266;5128;3029;7453;1912;{02768ACA-33C9-45F8-A01C-088086AD685A};1702;1;4;0;1;0
Gy;483;8,3;147;18,6;2,1;0,0;10,4;2,1;161;3,0;3,3;8,2;6;59,2;-7;30,7;1,9;103;31;19;53;;42;11;7;24;2,08;0,0;X;19,3;10,5;12,6;11,0;0,0;7,5;3,4;12,3;15,0;3,9;150,0;12;138;98;125;13;0;197;4;9;36;60;35;53;0;478;225;253;400;78;112;276;90;{703C5D4B-C743-409D-B90A-6F90A44ECC10};115;0;3;0;10;0
Hermance;1 047;11,7;727;27,5;4,7;4,7;8,5;9,5;340;2,9;1,4;29,0;11;57,2;-6;11,7;2,1;199;5;16;178;;56;4;10;42;0,50;1,0;0,9;21,6;6,3;8,7;13,0;0,4;10,2;4,9;5,3;25,8;1,6;357,0;19;338;280;320;18;0;432;24;27;86;90;80;125;0;1079;524;555;771;308;277;583;219;{216FADC6-DE8E-4B01-8E6A-C3CCEEDDF3B4};89;1;2;0;5;0
Jussy;1 241;8,1;109;22,0;2,4;1,6;6,3;6,3;433;2,8;11,4;8,1;18;55,0;-19;36,7;0,2;379;73;58;248;;105;20;15;70;0,56;0,0;1,5;29,2;6,8;4,9;20,1;1,8;8,1;1,6;2,7;19,2;3,0;341,0;41;300;171;246;53;1;532;33;43;112;127;85;132;0;1234;597;637;982;252;287;691;256;{7D79B3F5-070E-4F77-B9D3-7BF9F945C0B6};96;1;3;0;3;0
Laconnex;684;13,2;179;13,7;1,4;1,4;7,2;1,4;229;3,0;3,8;10,5;-9;79,8;6;8,9;0,8;121;37;13;71;;47;7;7;33;0,80;0,0;X;17,7;23,3;7,6;13,2;0,3;5,8;0,2;3,6;23,3;3,8;207,0;11;196;158;189;4;3;263;7;19;40;83;58;56;0;715;341;374;621;94;146;418;151;{88ED14AA-B644-4518-9FCE-E52C8E4C1841};116;8;17;3;62;1
Lancy;33 377;16,6;6 997;35,0;4,2;2,0;12,1;6,3;13 061;2,5;4,8;88,0;30;5,2;-22;6,4;0,4;19 560;36;2 224;17 300;;X;X;310;1 524;0,28;12,9;5,3;12,2;8,5;17,2;13,6;1,0;5,0;0,4;6,9;23,9;9,4;2243,0;330;1913;1001;1155;240;518;14995;1348;2914;5062;3903;1201;567;0;34044;16471;17573;22099;11945;7982;20812;5250;{A6D52415-92A1-4922-BB17-E0B2910A5C7E};2257;2;3;0;5;0
Meinier;2 116;10,8;304;19,5;2,8;0,9;8,5;6,6;804;2,6;7,0;14,6;17;80,5;-22;3,3;1,6;830;79;289;462;;180;19;48;113;0,44;1,9;1,6;20,2;10,1;6,8;17,7;1,2;4,9;1,7;6,0;25,0;3,6;394,0;42;352;202;266;71;15;917;38;150;271;219;130;109;0;2124;1012;1112;1709;415;493;1202;429;{3542F7D8-1290-4F01-9A43-BB9530B43C49};96;5;10;5;66;3
Meyrin;25 745;19,7;2 590;43,7;4,3;2,0;13,0;5,9;9 574;2,6;9,9;59,1;77;35,8;-72;4,2;0,9;23 190;55;4 714;18 421;;1 835;8;300;1 527;0,67;23,7;7,1;12,5;7,8;17,0;17,4;1,1;3,7;0,5;7,6;21,6;8,6;2035,0;525;1510;745;869;170;471;10905;1050;2258;3605;2725;922;343;2;26157;13070;13087;14648;11509;5949;15948;4260;{75E92C31-7E85-4505-B529-F39493F42E11};1785;3;6;0;19;0
Onex;19 058;8,0;6 758;36,0;4,8;2,7;12,7;8,8;7 740;2,4;2,8;77,3;26;6,0;-19;13,1;3,5;X;X;872;3 788;;X;X;100;585;0,20;0,3;6,5;12,8;7,2;16,7;15,0;0,8;4,8;0,4;7,2;23,1;8,6;1378,0;98;1280;786;856;185;239;8441;1033;1668;2820;1812;743;365;0;18992;9137;9855;12065;6927;4123;11228;3641;{2B9CDF06-4F84-4611-9DA6-6B65B3FA1D11};1160;0;3;0;5;0
Perly-Certoux;3 099;7,2;1 220;24,8;4,6;2,0;9,4;4,6;1 200;2,6;2,5;27,0;11;69,5;-11;3,1;0,4;1 670;75;668;927;;213;8;41;164;0,66;0,0;3,6;15,0;10,5;9,2;17,6;0,4;6,4;0,1;6,0;26,8;5,9;407,0;41;366;160;205;134;27;1399;93;182;548;358;134;84;0;3131;1480;1651;2369;762;704;1813;614;{2B3DF25E-DC5B-45B2-85C8-A4D713411BB6};213;1;3;7;31;4
Plan-les-Ouates;10 620;6,4;1 815;22,4;3,9;2,4;7,4;5,1;3 643;2,9;5,9;51,4;106;44,5;-105;3,6;0,5;15 075;28;7 678;7 369;;950;12;205;733;0,23;0,8;3,7;18,8;11,5;11,5;14,0;0,5;5,9;0,2;4,8;24,0;6,9;1977,0;193;1784;1342;1515;171;98;4042;236;389;908;1381;725;403;0;10628;5197;5431;8248;2380;2602;6452;1574;{BFC5BB80-6D2A-4B2E-9951-B2188F3D83AE};600;8;3;5;11;1
Pregny-Chambésy;3 775;3,4;1 165;50,4;2,4;0,5;6,0;7,3;1 239;2,8;3,2;70,5;35;15,4;-30;13,2;0,9;700;13;24;663;;X;X;14;156;0,46;5,5;0,6;30,0;7,6;9,5;13,6;0,9;7,1;0,1;4,1;21,0;4,4;1088,0;77;1011;788;920;87;4;1523;69;155;269;338;351;341;0;3735;1817;1918;1861;1874;868;2179;688;{B347A94B-D8FD-4B33-BAAE-427413763A11};164;0;1;0;2;0
Presinge;723;16,2;154;20,1;1,4;1,4;12,5;22,3;231;2,8;4,7;12,7;11;68,0;-13;18,6;0,6;212;21;10;181;;51;9;7;35;0,38;8,7;1,7;18,3;8,3;8,3;13,8;0,5;3,9;2,3;7,4;30,7;2,7;167,0;20;147;98;122;23;2;265;9;30;62;68;33;63;0;708;339;369;558;150;141;397;170;{7EBCDB90-B758-47E6-982D-03B6158B1F5A};115;0;2;0;4;0
Puplinge;2 468;21,5;924;23,2;6,1;2,0;15,0;2,4;986;2,5;2,7;21,1;5;74,3;-9;4,5;0,0;1 128;22;40;1 066;;120;6;13;101;0,00;0,0;3,8;15,9;8,2;9,4;15,5;0,7;8,0;1,0;3,6;31,1;4,9;385,0;39;346;189;224;106;16;1085;56;125;332;337;137;98;0;2488;1176;1312;1899;589;583;1459;446;{63BAB64B-2726-4D63-8DE0-7B45585B5356};264;0;1;0;2;0
Russin;541;15,8;110;27,4;9,2;1,8;9,2;3,7;193;2,7;4,9;13,6;-37;53,1;4;21,1;12,2;133;39;45;49;;39;8;5;26;0,89;0,0;1,9;29,7;5,4;7,6;10,0;0,0;5,8;0,2;5,8;28,8;4,4;171,0;24;147;95;132;15;0;226;11;24;54;72;19;46;0;539;278;261;377;162;96;355;88;{41596AC4-D885-46A6-8C5E-5898FE33F72A};115;4;1;0;21;0
Satigny;4 273;18,7;226;25,9;1,7;1,2;7,1;4,5;1 363;3,0;18,9;19,5;71;59,5;-76;18,5;2,5;9 424;252;4 312;4 860;;766;43;228;495;0,12;0,7;1,9;21,5;8,9;9,0;13,6;1,1;7,8;0,3;4,5;25,3;5,8;963,0;296;667;332;499;152;16;1628;128;157;422;443;277;201;0;4320;2200;2120;3145;1175;1119;2565;636;{033A32DE-6E14-445D-9362-4F5CA27F2FAD};316;1;1;0;2;0
Soral;955;31,4;325;18,4;4,4;2,2;15,5;12,2;322;2,8;2,9;12,6;14;83,3;-11;4,1;0,0;149;44;8;97;;36;14;4;18;0,27;1,2;X;24,0;16,4;6,1;14,1;0,7;3,4;0,4;5,6;24,7;2,7;208,0;10;198;123;163;34;1;365;16;23;98;93;76;57;2;976;466;510;798;178;224;554;198;{F60B898C-A0EE-49A1-8375-C4E98EF47650};36;2;1;10;21;3
